Game,Câu hỏi,Đáp án
Rise of Kingdoms,Đột biến rất quan trọng vì chúng mang lại điều gì?,Biến thể di truyền là cần thiết để một quần thể có thể tiến hóa
Rise of Kingdoms,Cuốn sách nào sau đây được viết bởi Mary Shelley?,Frankenstein
Rise of Kingdoms,Kỹ năng nào sau đây KHÔNG phải là một kỹ năng của El Cid?,Tinh thần hiệp sĩ
Rise of Kingdoms,Lựa chọn nào sau đây mô tả người theo đạo độc thần?,Một người tôn thờ 1 vị thần
Rise of Kingdoms,Đơn vị nào là đơn vị đặc biệt của nền văn minh Viking?,Cuồng nhân (Chiến binh điên cuồng)
Rise of Kingdoms,"Theo truyền thuyết Arthur, trận chiến cuối cùng giữa Vua Arthur và Mordred diễn ra ở đâu?",Camlann
Rise of Kingdoms,Chỉ huy quân sự nào được gọi là “Người Giải Phóng Teutoburg”?,Hermann
Rise of Kingdoms,Tác phẩm nào sau đây được viết bởi nhà biên kịch người Pháp Pierre Corneille?,Le Cid
Rise of Kingdoms,Nền văn minh nào sau đây có thể tăng năng lực chữa lành?,Pháp
Rise of Kingdoms,Điều nào sau đây không phải là mục đích của thần thoại Hy Lạp?,Tạo ra một con đường cứu rỗi
Rise of Kingdoms,Người sáng lập của Kentucky Fried Chicken (KFC) được trao cấp bậc danh dự nào?,Đại tá
Rise of Kingdoms,Wales chính thức trở thành một phần của Vương quốc Anh dưới triều đại của vị Vua nào?,Henry VIII
Rise of Kingdoms,Cần trang bị bao nhiêu vật phẩm có cùng chất lượng để hoàn thành “Sẵn Sàng Chiến Đấu”,6
Rise of Kingdoms,Những người đàn ông và phụ nữ trốn tránh điều gì ở ngoại ô Florence trong bộ tiểu thuyết “Mười Ngày”?,Cái chết đen
Rise of Kingdoms,Hai tác phẩm chính được cho là của Homer là?,Odyssey và Iliad
Rise of Kingdoms,Yi Seong-gye là chuyên gia về lĩnh vực nào sau đây?,Đồn trú
Rise of Kingdoms,Kiến trúc nào dưới đây dùng để tập hợp quân đội Liên Minh?,Lâu đài
Rise of Kingdoms,Kỹ năng nào sau đây KHÔNG phải là một trong những kỹ năng của Matilda xứ Flanders?,Dòng máu Celtic
Rise of Kingdoms,Ai là người sở hữu tất cả mọi thứ trong vương quốc Ai Cập cổ đại?,Pharoah
Rise of Kingdoms,Gấu trúc có 5 ngón chân có móng vuốt và một ngón chân thứ sáu. Gấu trúc sử dụng ngón chân thứ sáu để làm gì?,Để cầm tre ăn
Rise of Kingdoms,Nhà khảo cổ học người Anh Howard Carter đã phát hiện ngôi mộ của Pharaoh Ai Cập cổ đại nào vào năm 1922?,Tutankhamun
Rise of Kingdoms,Chỉ Huy nào sau đây có khả năng chuyển một số đơn vị tử trận thành đơn vị bị thương nặng khi tấn công thành phố?,Charlemagne
Rise of Kingdoms,“Trận Navas de Tolosa” là một bước ngoặt lớn trong cuộc xung đột nào?,Reconquista
Rise of Kingdoms,Nhạc cụ nào sau đây có sáu dây?,Guitar
Rise of Kingdoms,Tuyên ngôn độc lập Hoa Kỳ được viết vào năm nào?,1776
Rise of Kingdoms,"Trong sách Xuất Hành, ai là người dẫn dân Do Thái đến Vùng Đất Hứa?",Moses
Rise of Kingdoms,"Trong Chiếc Rương Thần Osiris, liên minh đầu tiên chiếm đóng bút tháp nhận được bao nhiêu dịch chuyển?",8
Rise of Kingdoms,Tổ chức nghệ thuật nào được biết đến như là “kho báu quốc gia” của Canada?,Cirque du Soleil
Rise of Kingdoms,Ai là tác giả đã viết cuốn sách nổi tiếng “Sapiens: Lược Sử Loài Người”?,Yuval Noah Harari
Rise of Kingdoms,Nước Anh đã đối đầu với quốc gia nào trong Trận Agincourt?,Pháp
Rise of Kingdoms,Pharaoh nào đã ra lệnh xây dựng đền Abu Simbel?,Ramesses II
Rise of Kingdoms,Chúng ta thường ăn bộ phận nào của cây khoai tây?,Thân
Rise of Kingdoms,Người Ai Cập làm giấy từ nguyên liệu nào?,Giấy cói
Rise of Kingdoms,Điều hòa được phát minh ở nước nào?,Mỹ
Rise of Kingdoms,Chữ tượng hình thuộc hệ thống chữ viết chính thức của quốc gia nào?,Ai Cập cổ đại
Rise of Kingdoms,Lục địa nào có nhiệt độ trung bình thấp nhất?,Nam Cực
Rise of Kingdoms,Câu nào sau đây là của Tomoe Gozen?,Sức mạnh của ta đến ma quỷ cũng phải kinh hoàng
Rise of Kingdoms,Da gấu Bắc Cực có màu gì?,Đen
Rise of Kingdoms,Ai là thầy giáo của Plato?,Socrates
Rise of Kingdoms,Công Nghệ Liên Minh “Người Bảo Vệ Lãnh Thổ” tăng đặc tính nào của đội quân khi chiến đấu trong lãnh thổ Liên Minh?,Tấn công
Rise of Kingdoms,Buff nào sau đây có hiệu lực trong trận chiến Hẻm Núi Hoàng Hôn?,Buff từ trang bị
Rise of Kingdoms,"Quốc tịch của Pierre de Fermat, người đề xuất Định Lý Cuối Cùng Của Fermat là?",Pháp
Rise of Kingdoms,Cuốn sách cuối cùng của Darwin chủ yếu thảo luận về ảnh hưởng của loài vật nào đối với đất?,Giun đất
Rise of Kingdoms,Mô tả nào sau đây là chính xác về tầng bình lưu?,Ở trên ấm ở dưới lạnh
Rise of Kingdoms,Ai là người đã thiết kế “Pháo Basilic”?,Urban
Rise of Kingdoms,Nền văn minh nào sau đây không thể tăng sức mạnh cho kỵ binh?,Ottoman
Rise of Kingdoms,Vị vua duy nhất của nước Anh bị xử tử là ai?,Charles I
Rise of Kingdoms,Người thợ mộc trứ danh Lỗ Ban đã phát minh ra công cụ hữu ích nào?,Cưa
Rise of Kingdoms,Đáp án nào sau đây KHÔNG tăng giới hạn thành viên của Liên Minh?,Bổ nhiệm sĩ quan
Rise of Kingdoms,Hành tinh nào trong hệ mặt trời quay nhanh nhất?,Sao Mộc
Rise of Kingdoms,Lựa chọn nào sau đây là “Kỹ Năng Chủ Động” của Minamoto no Yoshitsune?,Kyohachiryu
Rise of Kingdoms,Ai đã thành lập “Hạm đội Tây Ban Nha”?,Philip II
Rise of Kingdoms,Ai đã chỉ huy Quân đội kiểu mới do Quốc hội thành lập trong cuộc Nội Chiến Anh?,Cromwell
Rise of Kingdoms,Vật phẩm Tăng Cường Tấn Công (Cao Cấp) sẽ tăng tấn công lên bao nhiêu?,10%
Rise of Kingdoms,Quốc gia nào sau đây gần Bắc Cực nhất?,Phần Lan
Rise of Kingdoms,Di Sản Thế Giới Đội Quân Đất Nung được tìm thấy ở đâu?,Trong lăng mộ hoàng gia
Rise of Kingdoms,Người phụ nữ đầu tiên đoạt giải Nobel là ai?,Marie Curie
Rise of Kingdoms,Thần Taranis trong thần thoại Celtic là vị thần nào?,Thần Sấm
Rise of Kingdoms,Giải Gấu Vàng được trao tại liên hoan phim nào?,Liên hoan phim Berlin
Rise of Kingdoms,Tôn hiệu của vị hoàng đế cuối cùng của triều đại nhà Thanh của Trung Quốc là gì?,Tuyên Thống
Rise of Kingdoms,Đâu là thành phố lớn nhất Vương Quốc Anh tính theo diện tích?,London
Rise of Kingdoms,Pablo Picasso sinh ra ở đâu?,Iberia
Rise of Kingdoms,Mục đích ban đầu của Đại kim tự tháp Giza là gì?,Lăng mộ của Pharaoh Khufu
